,Tweet,Retweet Count,Reply count,like count,quote count,Name,Username,number of Followers,number of Following,total number of tweets
0,"There’s a lot more to do on the path of reconciliation, but announcements like the one we made yesterday – that we’ve partnered in the reimagining of the historic Hudson’s Bay building in Winnipeg – are part of the work we need to do every single day. More on that: https://t.co/2FLtraUSYI",135,307,765,20,Justin Trudeau,JustinTrudeau,6084236,940,39660
1,"Beaucoup reste à faire sur la voie de la réconciliation, et le réaménagement de l’édifice historique de la Cie. de la Baie d’Hudson à Winnipeg annoncé hier fait partie du travail que nous devons accomplir chaque jour. Pour en savoir plus : https://t.co/shfXDC8OR0",33,64,175,2,Justin Trudeau,JustinTrudeau,6084236,940,39660
2,It’s kids like these ones who are pushing us forward in the fight against climate change – they’re interested in science and they know how important it is to keep our air clean. Glad we ran into them at the @ManitobaMuseum today. Our future is in good hands. #EarthDay https://t.co/2lOAScALYW,202,908,1325,63,Justin Trudeau,JustinTrudeau,6084236,940,39660
3,Voilà des enfants qui nous font avancer dans la lutte contre les changements climatiques: ils aiment les sciences et comprennent l’importance de la qualité de l’air. Quel bonheur de les rencontrer au @ManitobaMuseum aujourd'hui. Notre avenir est en bonnes mains #JourDeLaTerre https://t.co/ekDJnHac0I,40,86,230,2,Justin Trudeau,JustinTrudeau,6084236,940,39660
4,"This investment will create almost 300 affordable housing units, and it builds on the investments that we’ll make with #Budget2022 – and that we’ve made over the past years – to create more affordable housing for Indigenous families. More on that here: https://t.co/YskW6FtwMW",63,85,373,3,Justin Trudeau,JustinTrudeau,6084236,940,39660
5,"Today, with Premier @HStefansonMB and Grand Chief Jerry Daniels, we took part in a historic land transfer that will help address historic wrongs – and we announced an investment that will reimagine the Hudson’s Bay building in Winnipeg. https://t.co/15k9WTPcEC",259,326,1592,25,Justin Trudeau,JustinTrudeau,6084236,940,39660
6,Cet investissement permettra de créer près de 300 logements abordables et s’inscrit dans la foulée des investissements du #Budget2022 – et des dernières années – pour offrir plus de logements abordables aux familles autochtones. Pour en savoir plus: https://t.co/HMVdPzU7ui,13,33,91,2,Justin Trudeau,JustinTrudeau,6084236,940,39660
7,"Aujourd’hui, la PM @HStefansonMB, le Grand Chef Jerry Daniels et moi avons assisté à un transfert de propriété historique qui aidera à corriger des torts du passé – et on a annoncé un investissement dans le nouveau chapitre de l’édifice de la Baie d’Hudson à Winnipeg. https://t.co/6IZUrxv4il",36,58,251,4,Justin Trudeau,JustinTrudeau,6084236,940,39660
8,"It’s always great to meet with our Manitoba team, and today was no exception. After this morning’s historic announcement downtown, we grabbed lunch at Cibo Waterfront Cafe and caught up with members of the community – and with each other. https://t.co/u6ZceZAe0v",74,271,562,14,Justin Trudeau,JustinTrudeau,6084236,940,39660
9,"C’est toujours un grand plaisir de voir notre équipe du Manitoba, et la rencontre d’aujourd’hui n’a pas fait exception. Après l’annonce historique au centre-ville, ce matin, on a dîné au Cibo Waterfront Cafe et discuté avec la communauté – et entre nous. https://t.co/bAMPlcbkRS",18,46,158,3,Justin Trudeau,JustinTrudeau,6084236,940,39660
10,RT @AnitaAnandMP: Canada stands with Ukraine. We have delivered a number of M777 howitzers and associated ammunition to Ukrainian Forces in…,209,0,0,0,Justin Trudeau,JustinTrudeau,6084236,940,39660
11,"RT @AnitaAnandMP: Le Canada est solidaire de l'Ukraine. Nous avons livré des obusiers M777 et des munitions aux Forces de l’Ukraine, conjoi…",20,0,0,0,Justin Trudeau,JustinTrudeau,6084236,940,39660
12,RT @CQualtro: The #InvictusGames are coming back to Canada! Our veterans &amp; members of the Armed Forces will compete in the first ever hybri…,185,0,0,0,Justin Trudeau,JustinTrudeau,6084236,940,39660
13,RT @CQualtro: Les #InvictusGames reviennent au Canada ! Nos vétérans et membres des forces armées participeront au tout premier jeues d'hiv…,60,0,0,0,Justin Trudeau,JustinTrudeau,6084236,940,39660
14,"Sat down for my first in-person meeting with Premier @HStefansonMB today. From advancing infrastructure priorities, to keeping Manitobans healthy, to supporting Ukrainians fleeing violence, we’ll keep working together on these and other priorities. https://t.co/qZRWBKsQzm",88,319,608,15,Justin Trudeau,JustinTrudeau,6084236,940,39660
